월,전국 평균매매가격(종합주택유형),KOSPI 종가,소비자물가지수
Jan-12,241108000,1955.79,3.4
Feb-12,240843000,2030.25,3.0
Mar-12,240486000,2014.04,2.7
Apr-12,239725000,1981.99,2.6
May-12,239186000,1843.47,2.5
Jun-12,238249000,1854.01,2.2
Jul-12,237240000,1881.99,1.5
Aug-12,236058000,1905.12,1.3
Sep-12,235050000,1996.21,2.1
Oct-12,234198000,1912.06,2.1
Nov-12,233522000,1932.9,1.6
Dec-12,231416000,1997.05,1.4
Jan-13,230467000,1961.94,1.6
Feb-13,229870000,2026.49,1.6
Mar-13,229875000,2004.89,1.5
Apr-13,229924000,1963.95,1.3
May-13,230307000,2001.05,1.2
Jun-13,230150000,1863.32,1.2
Jul-13,229578000,1914.03,1.6
Aug-13,229072000,1926.36,1.5
Sep-13,229121000,1996.96,1.0
Oct-13,229739000,2030.09,0.9
Nov-13,230110000,2044.87,1.2
Dec-13,230364000,2011.34,1.1
Jan-14,231351000,1941.15,1.1
Feb-14,231740000,1979.99,1.0
Mar-14,232338000,1985.61,1.3
Apr-14,232437000,1961.79,1.5
May-14,232430000,1994.96,1.7
Jun-14,232431000,2002.21,1.7
Jul-14,232383000,2076.12,1.6
Aug-14,232606000,2068.54,1.4
Sep-14,233258000,2020.09,1.1
Oct-14,233902000,1964.43,1.1
Nov-14,233909000,1980.78,1.0
Dec-14,234176000,1915.59,0.8
Jan-15,231658000,1949.26,1.0
Feb-15,232181000,1985.8,0.6
Mar-15,233006000,2041.03,0.5
Apr-15,234157000,2127.17,0.4
May-15,235123000,2114.8,0.6
Jun-15,236171000,2074.2,0.7
Jul-15,242371000,2030.16,0.7
Aug-15,243153000,1941.49,0.7
Sep-15,244032000,1962.81,0.5
Oct-15,244938000,2029.47,0.8
Nov-15,245676000,1991.97,0.8
Dec-15,246134000,1961.31,1.1
Jan-16,246194000,1912.06,0.6
Feb-16,246114000,1916.66,1.1
Mar-16,246098000,1995.85,0.8
Apr-16,246162000,1994.15,1.0
May-16,246318000,1983.4,0.8
Jun-16,246414000,1970.35,0.7
Jul-16,246615000,2016.19,0.4
Aug-16,247023000,2034.65,0.5
Sep-16,247169000,2043.63,1.3
Oct-16,247791000,2008.19,1.5
Nov-16,248318000,1983.48,1.5
Dec-16,248452000,2026.46,1.3
Jan-17,248457000,2067.57,2.2
Feb-17,248640000,2091.64,2.1
Mar-17,249156000,2160.23,2.3
Apr-17,249475000,2205.44,2.0
May-17,249959000,2347.38,2.0
Jun-17,250921000,2391.79,1.8
Jul-17,251522000,2402.71,2.2
Aug-17,252429000,2363.19,2.5
Sep-17,252787000,2394.47,2.0
Oct-17,253259000,2523.43,1.8
Nov-17,253839000,2476.37,1.2
Dec-17,278985000,2467.49,1.4
Jan-18,280615000,2566.46,0.8
Feb-18,282377000,2427.36,1.3
Mar-18,283340000,2445.85,1.2
Apr-18,283813000,2515.38,1.5
May-18,284036000,2423.01,1.5
Jun-18,284224000,2326.13,1.5
Jul-18,284483000,2295.26,1.1
Aug-18,285268000,2322.88,1.4
Sep-18,287487000,2343.07,2.1
Oct-18,288695000,2029.69,2.0
Nov-18,289306000,2096.86,2.0
Dec-18,289448000,2041.04,1.3
Jan-19,307279000,2204.85,0.8
Feb-19,306725000,2195.44,0.5
Mar-19,306155000,2140.67,0.4
Apr-19,305480000,2203.59,0.6
May-19,305053000,2041.74,0.7
Jun-19,304869000,2130.62,0.7
Jul-19,304980000,2024.55,0.6
Aug-19,305248000,1967.79,0.0
Sep-19,305797000,2063.05,-0.4
Oct-19,306826000,2083.48,0.0
Nov-19,308186000,2087.96,0.2
Dec-19,310734000,2197.67,0.7
Jan-20,320854000,2119.01,1.2
Feb-20,322306000,1987.01,0.9
Mar-20,324460000,1754.64,0.8
Apr-20,325413000,1947.56,0.0
May-20,325780000,2029.6,-0.2
Jun-20,327333000,2108.33,0.2
Jul-20,330280000,2249.37,0.4
Aug-20,332498000,2326.17,0.8
Sep-20,334399000,2327.89,0.9
Oct-20,335685000,2267.15,0.1
Nov-20,337897000,2591.34,0.6
Dec-20,341347000,2873.47,0.6
Jan-21,344491000,2976.21,0.9
Feb-21,348256000,3012.95,1.4
Mar-21,351059000,3061.42,1.9
Apr-21,353795000,3147.86,2.5
May-21,356556000,3203.92,2.6
Jun-21,361192000,3296.68,2.3
Jul-21,411499000,3202.32,2.6
Aug-21,415945000,3199.27,2.6
Sep-21,419990000,3068.82,2.4
Oct-21,423864000,2970.68,3.2
Nov-21,426454000,2839.01,3.8
Dec-21,427501000,2977.65,3.7
Jan-22,427654000,2663.34,3.6
Feb-22,427531000,2699.18,3.7
Mar-22,427256000,2757.65,4.1
Apr-22,427237000,2695.05,4.8
May-22,426963000,2685.9,5.4
Jun-22,426583000,2332.64,6.0
Jul-22,425953000,2451.5,6.3
Aug-22,424180000,2472.05,5.7
Sep-22,421339000,2155.49,5.6
,,,5.7
